start,end,type label,modifier
00:00:02.535,00:00:21.554,S,False
00:00:24.557,00:00:28.028,L,False
00:00:36.036,00:00:36.503,G,False
00:00:40.507,00:00:47.047,L,False
00:00:58.058,00:02:23.043,P,False
00:02:27.514,00:03:00.547,M,False
00:03:03.016,00:03:05.018,O,False
00:03:12.559,00:03:27.007,P,False
00:03:44.024,00:05:53.053,P,False
00:06:08.001,00:06:56.549,P,False
00:07:03.556,00:07:04.024,I,False
00:08:24.004,00:08:39.019,P,False
00:08:50.030,00:10:01.001,P,False
00:10:43.043,00:10:43.043,P,False
00:11:04.531,00:11:57.550,P,False
00:15:25.025,00:15:25.025,P,False
00:16:26.553,00:16:26.553,P,False
00:17:51.538,00:22:58.545,P,False
00:23:26.006,00:26:43.003,P,False
00:26:58.018,00:27:29.516,P,False
00:27:50.537,00:29:20.527,P,False
00:29:35.542,00:29:37.544,I,False
00:30:45.512,00:34:34.007,P,False
00:35:11.011,00:35:22.555,P,False
00:35:44.511,00:38:34.547,P,False
00:39:35.008,00:42:02.022,P,False
00:42:45.532,00:48:08.555,P,False
00:48:27.540,00:48:57.504,P,False
00:49:11.518,00:53:19.032,P,False
00:54:33.540,00:54:34.541,C,False
00:54:36.543,00:54:38.011,C,False
00:54:39.546,00:54:41.548,C,False
00:54:43.550,00:55:26.026,C,True
00:55:28.561,00:55:32.565,L,False
00:55:41.508,00:55:41.508,G,False
00:55:42.042,00:55:42.042,L,False
00:55:49.516,00:55:49.516,L,False
00:55:54.521,00:55:57.524,G,False
00:56:07.534,00:56:07.534,L,False
00:56:10.537,00:56:26.019,G,False
00:56:48.008,00:56:48.008,P,False
