start,end,type label,modifier
00:00:00.000,00:00:56.022,B,False
00:00:58.024,00:01:16.009,S,False
00:01:30.023,00:01:30.023,M,False
00:01:32.025,00:01:34.027,P,False
00:01:40.033,00:01:40.033,P,False
00:01:46.005,00:01:48.007,P,False
00:02:06.025,00:02:06.025,L,False
00:02:10.029,00:02:12.031,M,False
00:02:14.000,00:02:18.004,I,False
00:02:20.006,00:02:42.028,P,False
00:02:44.030,00:02:48.001,T,False
00:03:02.015,00:03:02.015,F,False
00:03:10.023,00:03:12.025,P,False
00:03:18.031,00:03:22.001,P,False
00:03:24.003,00:03:24.003,I,False
00:03:26.005,00:03:26.005,P,False
00:03:28.007,00:03:30.009,I,False
00:03:32.011,00:03:38.017,P,False
00:03:42.021,00:03:42.021,P,False
00:03:44.023,00:03:48.027,O,False
00:03:50.029,00:03:54.000,P,False
00:04:04.010,00:04:14.020,P,False
00:04:18.024,00:04:20.026,P,False
00:04:24.030,00:04:52.025,P,False
00:04:56.029,00:05:02.001,P,False
00:05:04.003,00:05:06.005,I,False
00:05:08.007,00:05:20.019,P,False
00:05:24.023,00:05:26.025,E,False
00:05:28.027,00:05:32.031,I,False
00:05:34.000,00:05:48.014,P,False
00:05:50.016,00:05:52.018,Y,False
00:05:54.020,00:05:56.022,P,False
00:06:14.006,00:06:14.006,P,False
00:06:16.008,00:06:18.010,I,False
00:06:20.012,00:06:28.020,P,False
00:06:32.024,00:06:34.026,I,False
00:06:46.005,00:06:58.017,P,False
00:07:00.019,00:07:02.021,I,False
00:07:10.029,00:07:10.029,P,False
00:07:12.031,00:07:16.002,Y,False
00:07:20.006,00:07:20.006,P,False
00:07:22.008,00:07:38.024,G,False
00:07:40.026,00:07:44.030,E,False
00:07:48.000,00:07:58.010,P,False
00:08:00.012,00:08:00.012,F,False
00:08:02.014,00:08:10.022,P,True
00:08:12.024,00:08:16.028,I,False
00:08:18.030,00:08:18.030,P,False
00:08:28.007,00:08:30.009,P,False
00:08:32.011,00:08:38.017,E,False
00:08:42.021,00:08:54.000,P,False
00:08:56.002,00:08:58.004,E,False
00:09:00.006,00:09:20.026,P,False
00:09:24.030,00:09:28.000,F,False
00:09:30.002,00:09:40.012,E,False
00:09:42.014,00:09:42.014,P,True
00:09:44.016,00:09:48.020,I,False
00:09:50.022,00:09:54.026,P,False
00:09:56.028,00:10:04.003,F,False
00:10:06.005,00:10:06.005,P,False
00:10:08.007,00:10:10.009,I,False
00:10:12.011,00:11:20.012,P,False
00:11:22.014,00:11:24.016,I,False
00:11:26.018,00:11:54.013,P,False
00:12:28.013,00:12:28.013,P,False
00:12:30.015,00:12:32.017,I,False
00:12:34.019,00:12:34.019,P,False
00:12:52.004,00:12:52.004,P,False
00:12:54.006,00:12:54.006,G,False
00:12:56.008,00:13:10.022,P,False
00:13:12.024,00:13:16.028,G,False
00:13:22.001,00:13:22.001,P,False
00:13:24.003,00:13:24.003,I,True
00:13:26.005,00:13:32.011,P,False
00:13:36.015,00:13:36.015,P,False
00:13:50.029,00:13:50.029,P,False
00:13:52.031,00:13:54.033,I,False
00:13:56.001,00:13:56.001,P,False
00:14:08.013,00:14:08.013,P,False
00:14:32.004,00:14:36.008,P,False
00:14:42.014,00:14:44.016,P,False
00:14:48.020,00:14:50.022,P,False
00:14:54.026,00:14:54.026,P,False
00:15:00.032,00:15:02.001,P,False
00:15:06.005,00:15:38.003,P,False
00:15:40.005,00:15:42.007,I,False
00:15:44.009,00:15:58.023,P,False
00:16:02.027,00:16:12.004,G,False
00:16:14.006,00:16:24.016,P,False
00:16:26.018,00:16:26.018,F,False
00:16:32.024,00:17:02.021,P,False
00:17:10.029,00:17:10.029,P,False
00:17:12.031,00:17:14.032,G,False
00:17:16.001,00:17:16.001,P,False
00:17:20.005,00:17:52.004,P,False
00:17:56.008,00:17:56.008,P,False
00:17:58.010,00:17:58.010,F,False
00:18:04.016,00:18:06.018,P,False
00:18:12.024,00:18:12.024,P,False
00:18:14.026,00:18:14.026,I,False
00:18:16.028,00:18:38.016,P,False
00:18:42.020,00:18:42.020,P,False
00:18:46.024,00:18:46.024,P,False
00:18:58.003,00:19:02.007,P,False
00:19:12.017,00:19:12.017,P,False
00:19:20.025,00:19:22.027,P,False
00:19:30.002,00:19:30.002,P,False
00:19:48.020,00:19:48.020,P,False
00:19:50.022,00:19:52.024,I,False
00:19:54.026,00:19:58.030,P,False
00:20:04.002,00:20:06.004,P,False
00:20:14.012,00:20:26.024,P,False
00:20:30.028,00:20:34.032,P,False
00:20:36.001,00:20:38.003,I,True
00:20:40.005,00:21:10.002,P,False
00:21:20.012,00:21:24.016,P,False
00:21:32.024,00:21:34.026,P,False
00:21:38.030,00:21:40.032,P,False
00:21:44.002,00:21:58.016,P,False
00:22:06.024,00:22:12.030,P,False
00:22:16.001,00:22:22.007,P,False
00:22:24.009,00:22:28.013,I,True
00:22:30.015,00:23:52.030,P,True
00:23:54.032,00:24:00.005,I,False
00:24:02.007,00:24:22.027,P,False
00:24:36.007,00:26:14.005,P,False
00:26:22.013,00:26:28.019,P,False
00:26:30.021,00:26:34.025,I,False
00:26:36.027,00:28:00.011,P,False
00:28:06.017,00:28:08.019,R,False
