start,end,type label,modifier
00:00:00.000,00:00:58.024,B,False
00:01:10.003,00:01:22.015,S,False
00:01:32.025,00:01:36.029,R,False
00:01:42.001,00:01:42.001,L,False
00:01:46.005,00:01:54.013,P,False
00:02:20.006,00:02:32.018,L,False
00:02:48.001,00:02:48.001,F,False
00:02:52.005,00:02:52.005,F,False
00:02:54.007,00:03:00.013,O,False
00:03:04.017,00:03:08.021,M,False
00:03:14.027,00:03:26.005,P,True
00:03:28.007,00:03:32.011,I,False
00:03:34.013,00:03:44.023,P,False
00:03:46.025,00:03:50.029,I,False
00:03:52.031,00:03:52.031,P,False
00:03:56.002,00:04:00.006,G,False
00:04:08.014,00:04:10.016,I,False
00:04:12.018,00:04:14.020,P,False
00:04:26.032,00:04:28.001,I,False
00:04:30.003,00:04:32.005,P,False
00:04:44.017,00:04:44.017,P,False
00:04:46.019,00:04:46.019,I,False
00:04:48.021,00:04:52.025,P,False
00:05:02.001,00:05:02.001,P,False
00:05:10.009,00:05:10.009,P,False
00:05:16.015,00:05:30.029,P,False
00:05:36.002,00:05:38.004,G,False
00:05:42.008,00:05:58.024,P,False
00:06:14.006,00:06:22.014,P,False
00:06:28.020,00:06:32.024,I,False
00:06:34.026,00:06:42.001,P,False
00:06:50.009,00:06:50.009,P,False
00:06:58.017,00:07:24.010,P,False
00:07:30.016,00:07:30.016,I,True
00:07:32.018,00:07:36.022,P,False
00:07:42.028,00:07:48.000,G,False
00:07:58.010,00:09:10.016,P,True
00:09:12.018,00:09:18.024,I,False
00:09:20.026,00:09:44.016,P,False
00:09:46.018,00:09:52.024,I,False
00:09:54.026,00:11:08.000,P,False
00:11:10.002,00:11:14.006,I,True
00:11:16.008,00:11:46.005,P,False
00:11:50.009,00:12:38.023,P,True
00:12:40.025,00:12:46.031,I,False
00:12:48.000,00:14:56.028,P,False
00:14:58.030,00:15:06.005,I,False
00:15:08.007,00:15:18.017,P,False
00:15:22.021,00:16:26.018,P,True
00:16:28.020,00:16:34.026,I,False
00:16:36.028,00:18:36.014,P,False
00:18:40.018,00:18:52.030,P,False
00:18:58.003,00:19:52.024,P,False
00:19:54.026,00:20:02.000,I,False
00:20:04.002,00:20:56.021,P,False
00:20:58.023,00:21:02.027,I,False
00:21:04.029,00:22:34.019,P,False
00:22:40.025,00:23:06.017,P,False
00:23:08.019,00:23:14.025,I,False
00:23:16.027,00:23:48.026,P,True
00:23:50.028,00:23:56.001,I,False
00:23:58.003,00:26:32.023,P,False
00:26:36.027,00:26:46.004,C,False
00:26:50.008,00:26:52.010,P,False
00:26:54.012,00:27:24.009,C,False
00:27:26.011,00:27:26.011,E,False
00:27:28.013,00:27:36.021,P,False
00:27:40.025,00:27:46.031,C,False
00:27:48.033,00:27:54.005,R,False
00:27:58.009,00:27:58.009,M,False
00:28:00.011,00:28:14.025,L,False
