start,end,type label,modifier
00:00:00.000,00:00:12.012,S,False
00:00:34.000,00:00:38.004,L,False
00:00:40.006,00:00:46.012,E,False
00:00:48.014,00:01:04.030,G,True
00:01:06.032,00:01:20.013,L,False
00:01:24.017,00:01:36.029,M,False
00:01:38.031,00:01:38.031,G,False
00:01:42.001,00:01:48.007,Y,False
00:02:04.023,00:02:12.031,P,False
00:02:14.000,00:02:18.004,I,False
00:02:20.006,00:02:34.020,P,False
00:02:38.024,00:02:52.005,P,False
00:02:58.011,00:03:02.015,P,False
00:03:08.021,00:03:10.023,P,False
00:03:16.029,00:03:32.011,P,False
00:03:36.015,00:03:44.023,P,False
00:03:46.025,00:03:48.027,I,False
00:03:50.029,00:03:56.002,P,False
00:04:02.008,00:04:04.010,P,False
00:04:08.014,00:04:14.020,P,False
00:04:22.028,00:04:52.025,P,False
00:05:06.005,00:05:32.031,P,False
00:05:36.002,00:05:36.002,T,False
00:05:48.014,00:06:00.026,P,False
00:06:10.002,00:06:38.030,P,False
00:06:40.032,00:06:42.001,I,False
00:06:44.003,00:07:26.012,P,False
00:07:30.016,00:07:40.026,P,False
00:07:42.028,00:07:42.028,E,False
00:07:44.030,00:07:48.000,I,False
00:07:50.002,00:08:02.014,E,False
00:08:04.016,00:08:06.018,T,False
00:08:22.001,00:08:24.003,P,False
00:08:26.005,00:08:34.013,E,False
00:08:36.015,00:08:36.015,P,False
00:08:38.017,00:08:40.019,I,False
00:08:42.021,00:09:02.008,P,False
00:09:04.010,00:09:22.028,I,False
00:09:24.030,00:09:24.030,P,False
00:09:34.006,00:09:34.006,P,False
00:09:36.008,00:09:36.008,E,False
00:09:38.010,00:09:58.030,P,False
00:10:00.032,00:10:26.025,E,False
00:10:28.027,00:10:30.029,I,False
00:10:32.031,00:10:42.008,E,False
00:10:46.012,00:10:46.012,G,False
00:10:50.016,00:10:52.018,F,False
00:10:54.020,00:10:56.022,P,False
00:11:00.026,00:11:00.026,G,False
00:11:04.030,00:11:06.032,I,False
00:11:08.000,00:11:10.002,P,False
00:11:12.004,00:11:14.006,I,False
00:11:16.008,00:11:26.018,P,False
00:11:28.020,00:11:32.024,I,False
00:11:34.026,00:11:38.030,P,False
00:11:40.032,00:11:42.001,G,False
00:11:48.007,00:11:50.009,I,False
00:11:52.011,00:11:58.017,P,False
00:12:02.021,00:12:20.005,P,False
00:12:30.015,00:12:34.019,P,False
00:12:40.025,00:12:56.008,E,False
00:13:08.020,00:13:08.020,I,False
00:13:14.026,00:13:14.026,P,False
00:13:16.028,00:13:16.028,G,False
00:13:22.001,00:13:24.003,P,False
00:13:26.005,00:13:26.005,I,False
00:13:28.007,00:13:30.009,P,False
00:13:32.011,00:13:32.011,I,True
00:13:34.013,00:13:40.019,P,False
00:13:54.033,00:13:54.033,P,False
00:13:56.001,00:13:58.003,I,False
00:14:00.005,00:14:04.009,P,False
00:14:06.011,00:14:08.013,I,False
00:14:10.015,00:14:18.023,P,False
00:14:24.029,00:14:26.031,I,False
00:14:28.000,00:14:30.002,P,False
00:14:32.004,00:14:34.006,I,False
00:14:36.008,00:14:40.012,P,False
00:14:42.014,00:14:44.016,I,False
00:14:46.018,00:15:00.032,P,False
00:15:02.001,00:15:20.019,E,False
00:15:38.003,00:15:40.005,G,False
00:15:42.007,00:15:48.013,Y,False
00:16:52.011,00:16:54.013,I,False
00:16:56.015,00:17:04.022,E,False
00:17:06.025,00:17:08.027,P,False
00:17:10.029,00:17:14.032,G,False
00:17:16.001,00:17:16.001,P,False
00:17:18.003,00:17:22.007,I,False
00:17:24.009,00:17:48.000,P,False
00:17:50.002,00:18:26.004,G,False
00:18:28.006,00:19:00.005,P,False
00:19:02.007,00:19:28.000,G,False
00:19:30.002,00:19:48.020,P,False
00:20:02.000,00:20:04.002,G,False
00:20:40.005,00:20:42.007,I,False
00:20:44.009,00:21:06.031,E,False
00:21:10.002,00:21:10.002,G,False
00:21:16.008,00:21:16.008,P,False
00:21:18.010,00:21:20.012,I,False
00:21:22.014,00:21:32.024,P,False
00:21:34.026,00:21:46.004,E,False
00:21:48.006,00:21:50.008,G,False
00:22:10.028,00:22:30.015,E,False
00:22:32.017,00:22:44.029,G,False
00:22:46.031,00:23:08.019,E,False
00:23:24.002,00:23:28.006,G,False
00:24:02.007,00:24:04.009,P,False
00:24:34.005,00:24:40.011,G,False
00:24:48.019,00:24:50.021,I,False
00:24:52.023,00:24:52.023,P,False
00:24:54.025,00:24:54.025,G,False
00:24:58.029,00:25:00.031,P,False
00:25:06.004,00:25:18.016,E,False
00:25:32.030,00:25:32.030,P,False
00:25:34.032,00:25:36.001,I,False
00:25:38.003,00:25:50.015,P,False
00:25:52.017,00:25:58.023,E,False
00:26:02.027,00:26:02.027,G,False
00:26:14.005,00:26:20.011,P,False
00:26:34.025,00:26:34.025,P,False
00:26:36.027,00:26:38.029,I,False
00:26:40.031,00:26:44.002,P,False
00:26:46.004,00:26:56.014,E,False
00:26:58.016,00:27:00.018,G,False
00:27:14.032,00:27:40.025,E,False
00:27:54.005,00:28:04.015,C,False
00:28:14.025,00:28:20.031,R,False
00:28:24.002,00:28:32.010,G,False
00:28:50.028,00:29:08.012,E,False
00:29:22.026,00:29:26.030,R,False
