start,end,type label,modifier
00:00:10.010,00:01:18.011,B,False
00:01:20.013,00:01:26.019,S,False
00:01:30.023,00:01:34.027,L,False
00:01:38.031,00:01:54.013,O,False
00:01:56.015,00:01:58.017,M,False
00:02:00.019,00:02:00.019,E,False
00:02:02.021,00:02:04.023,P,False
00:02:06.025,00:02:08.027,I,False
00:02:10.029,00:02:14.000,P,False
00:02:28.014,00:02:28.014,P,False
00:02:36.022,00:02:36.022,P,False
00:02:40.026,00:02:46.032,P,False
00:02:48.001,00:02:52.005,I,False
00:02:54.007,00:03:12.025,P,False
00:03:14.027,00:03:18.031,I,False
00:03:20.033,00:03:38.017,P,False
00:03:44.023,00:03:44.023,P,False
00:03:48.027,00:04:14.020,P,False
00:04:20.026,00:04:26.032,P,False
00:04:30.003,00:04:30.003,I,False
00:04:38.011,00:05:06.005,P,False
00:05:10.009,00:05:28.027,P,False
00:05:36.002,00:05:38.004,P,False
00:05:42.008,00:06:04.030,P,False
00:06:10.002,00:06:10.002,P,False
00:06:42.001,00:06:44.003,P,False
00:06:54.013,00:06:54.013,P,True
00:06:56.015,00:07:02.021,I,True
00:07:04.023,00:08:04.016,P,True
00:08:06.018,00:08:10.022,I,True
00:08:12.024,00:11:34.026,P,False
00:11:38.030,00:11:40.032,G,False
00:11:42.001,00:11:46.005,M,False
00:12:40.025,00:12:42.027,P,False
00:12:56.008,00:13:00.012,I,True
00:13:02.014,00:14:04.009,P,False
00:14:12.017,00:14:32.004,P,False
00:14:40.012,00:15:48.013,P,False
00:16:10.002,00:16:48.007,P,False
00:16:54.013,00:17:00.019,P,False
00:17:50.002,00:17:56.008,P,False
00:18:10.022,00:18:18.030,P,False
00:18:20.032,00:18:24.002,I,False
00:18:26.004,00:20:18.016,P,False
00:20:36.001,00:20:42.007,P,False
00:20:44.009,00:20:46.011,M,False
00:21:22.014,00:21:34.026,P,False
00:21:44.002,00:22:52.003,P,False
00:22:58.009,00:22:58.009,P,False
00:23:02.013,00:23:02.013,P,False
00:23:04.015,00:23:08.019,I,False
00:23:10.021,00:23:50.028,P,False
00:23:54.032,00:24:30.001,P,True
00:24:32.003,00:24:34.005,I,False
00:24:36.007,00:25:44.009,P,False
00:25:46.011,00:26:12.003,G,False
00:26:14.005,00:27:02.020,P,True
00:27:04.022,00:27:22.007,G,False
00:27:24.009,00:27:28.013,P,False
00:27:30.015,00:27:44.029,G,False
00:27:46.031,00:27:46.031,P,False
00:27:54.005,00:28:24.002,C,False
00:28:32.010,00:28:50.028,C,False
00:29:08.012,00:29:10.014,R,False
00:29:12.016,00:29:16.020,M,False
