start,end,type label,modifier
00:00:07.540,00:00:14.547,G,False
00:00:22.022,00:00:28.028,L,False
00:00:30.030,00:00:48.048,O,False
00:01:19.546,00:01:20.547,P,False
00:01:43.536,00:01:52.045,G,False
00:02:37.524,00:02:37.524,F,False
00:02:52.005,00:02:54.541,F,False
00:03:00.013,00:03:00.547,P,False
00:03:04.551,00:03:04.551,F,False
00:03:36.049,00:03:45.058,F,False
00:05:39.539,00:06:22.548,P,False
00:07:51.537,00:07:51.537,P,False
00:09:08.548,00:09:31.537,P,False
00:09:38.544,00:09:40.046,F,False
00:10:03.536,00:10:50.549,P,False
00:11:10.536,00:11:20.546,P,False
00:12:17.536,00:12:17.536,P,False
00:13:58.037,00:14:57.563,P,False
00:16:14.039,00:16:14.039,P,False
00:17:32.551,00:17:32.551,P,False
00:17:49.034,00:17:51.036,P,False
00:17:56.041,00:17:56.041,F,False
00:18:46.058,00:18:51.563,P,False
00:20:12.044,00:20:12.044,F,False
00:20:37.536,00:24:04.543,P,False
00:25:22.053,00:25:23.555,F,False
00:26:24.549,00:28:21.533,P,False
00:28:33.545,00:28:33.545,E,False
00:28:37.549,00:28:52.564,P,False
00:29:43.548,00:29:47.051,F,False
00:30:35.533,00:30:35.533,P,False
00:31:08.533,00:31:10.034,P,False
00:31:24.048,00:31:24.549,P,False
00:32:50.034,00:32:51.035,P,False
00:33:03.047,00:34:24.062,P,False
00:36:30.054,00:36:31.055,P,False
00:36:52.543,00:37:14.532,P,False
00:37:23.040,00:38:17.561,P,False
00:39:26.063,00:39:27.031,F,False
00:39:29.533,00:39:29.533,E,False
00:40:54.552,00:40:59.056,P,False
00:41:02.560,00:41:08.532,F,False
00:41:15.539,00:41:15.539,E,False
00:41:25.549,00:42:35.052,P,False
00:42:55.539,00:42:57.041,P,False
00:43:10.554,00:43:10.554,P,False
00:44:31.035,00:44:31.035,P,False
00:45:12.042,00:45:15.546,F,False
00:46:45.536,00:47:33.050,P,False
00:48:34.044,00:48:34.044,P,False
00:49:04.041,00:49:21.558,P,False
00:50:24.054,00:51:28.051,P,False
00:52:08.058,00:52:08.058,E,False
00:52:11.061,00:52:25.542,P,False
00:54:32.535,00:54:32.535,F,False
00:55:14.044,00:55:23.553,Y,False
00:55:26.556,00:55:46.543,N,False
00:55:51.548,00:56:01.057,Y,False
00:56:38.561,00:57:06.556,C,False
00:57:08.558,00:57:09.559,C,False
00:57:14.531,00:57:19.536,C,False
00:57:21.037,00:57:27.544,C,False
00:57:29.546,00:57:30.046,R,False
