start,end,type label,modifier
00:01:40.533,00:01:57.050,S,False
00:02:00.553,00:02:06.059,O,True
00:02:10.063,00:02:19.506,M,False
00:02:25.512,00:02:28.515,O,False
00:03:25.038,00:03:40.553,U,True
00:03:41.554,00:03:46.559,I,False
00:03:50.563,00:04:52.558,U,False
00:05:30.563,00:05:35.535,F,False
00:06:41.033,00:06:48.040,F,False
00:10:11.544,00:10:11.544,I,False
00:11:26.552,00:11:27.553,Y,False
00:12:59.044,00:12:59.044,F,False
00:17:04.556,00:17:04.556,F,False
00:18:34.046,00:18:34.046,P,False
00:19:30.035,00:19:32.538,F,False
00:20:10.542,00:21:04.563,F,False
00:25:05.537,00:25:11.042,F,False
00:25:41.039,00:25:55.053,F,False
00:27:37.055,00:27:56.541,C,False
