start,end,type label,modifier
00:00:00.000,00:00:08.008,B,False
00:00:42.008,00:00:42.008,B,False
00:00:54.003,00:00:54.003,B,False
00:01:06.015,00:01:08.001,B,False
00:01:10.003,00:01:18.011,S,False
00:01:24.000,00:01:24.000,O,False
00:01:28.004,00:01:30.006,O,False
00:01:36.012,00:01:40.016,M,False
00:01:44.003,00:01:50.009,W,True
00:01:52.011,00:01:56.015,M,False
00:01:58.001,00:02:00.003,P,False
00:02:02.005,00:02:02.005,F,False
00:02:08.011,00:02:08.011,F,False
00:02:22.008,00:02:24.010,F,False
00:02:32.001,00:02:32.001,F,False
00:02:56.009,00:02:58.011,P,False
00:03:04.000,00:03:04.000,F,False
00:03:08.004,00:03:08.004,F,False
00:03:14.010,00:03:16.012,F,False
00:03:50.013,00:03:52.015,F,False
00:04:16.005,00:04:18.007,F,False
00:04:36.009,00:04:36.009,P,False
00:04:46.002,00:05:04.003,P,False
00:05:42.008,00:05:46.012,Y,False
00:05:52.001,00:06:00.009,P,False
00:06:28.004,00:06:30.006,P,False
00:06:34.010,00:07:02.004,P,False
00:07:06.008,00:07:08.010,Y,False
00:07:56.008,00:08:06.002,P,False
00:08:10.006,00:08:10.006,P,False
00:09:50.006,00:10:00.016,P,False
00:11:42.001,00:11:44.003,P,False
00:11:46.005,00:11:50.009,I,False
00:11:52.011,00:11:56.015,P,False
00:11:58.000,00:12:02.004,I,False
00:12:04.006,00:12:16.001,P,False
00:12:18.003,00:12:20.005,I,False
00:12:22.007,00:12:44.013,P,False
00:12:50.002,00:13:54.016,P,False
00:13:58.003,00:14:02.007,P,False
00:15:58.007,00:16:12.004,P,True
00:16:14.006,00:16:20.012,I,False
00:16:22.014,00:16:24.016,P,False
00:16:28.003,00:16:32.007,P,False
00:22:40.008,00:22:40.008,P,False
00:22:42.010,00:22:44.012,I,False
00:22:46.014,00:22:48.016,P,False
00:22:52.003,00:23:02.013,P,False
00:23:04.015,00:23:08.003,I,False
00:23:10.005,00:23:20.015,P,False
00:23:34.012,00:23:34.012,P,False
00:23:38.016,00:23:42.003,P,False
00:23:44.005,00:23:48.009,I,False
00:23:50.011,00:23:56.001,P,False
00:24:00.005,00:24:06.011,P,False
00:24:16.004,00:24:20.008,P,False
00:24:24.012,00:24:30.001,P,False
00:28:58.002,00:29:02.006,I,False
00:29:04.008,00:29:32.003,P,False
00:35:32.013,00:35:32.013,P,False
00:35:36.000,00:35:40.004,I,False
00:35:42.006,00:35:46.010,P,False
00:38:22.016,00:38:24.001,P,False
00:39:14.001,00:39:22.009,P,False
00:39:48.002,00:39:50.004,P,False
00:40:52.016,00:41:08.015,P,False
00:52:02.002,00:52:06.006,P,False
00:52:10.010,00:52:12.012,P,False
00:52:14.014,00:52:22.005,F,False
00:52:24.007,00:52:26.009,E,False
00:52:28.011,00:52:30.013,P,False
00:59:26.012,00:59:50.003,C,False
00:59:54.007,00:59:56.009,R,False
01:00:00.013,01:00:12.008,G,False
01:00:16.012,01:00:26.005,L,False
