start,end,type label,modifier
00:00:00.533,00:00:25.025,L,False
00:00:29.029,00:00:29.029,P,False
00:00:50.517,00:00:59.526,F,False
00:01:20.013,00:01:21.014,P,False
00:02:16.035,00:02:25.044,M,False
00:02:28.047,00:02:31.050,O,False
00:02:49.002,00:02:58.011,P,False
00:03:52.065,00:04:08.548,P,False
00:04:28.001,00:04:30.536,F,False
00:04:51.557,00:05:00.533,P,False
00:05:11.044,00:05:52.051,P,False
00:06:18.044,00:06:18.044,F,False
00:06:40.066,00:06:40.533,P,False
00:08:00.046,00:08:02.048,P,False
00:08:12.058,00:08:12.058,I,False
00:08:22.034,00:08:43.556,P,False
00:09:38.044,00:09:38.044,P,False
00:11:43.536,00:12:02.054,P,False
00:12:08.561,00:12:33.052,F,False
00:13:06.552,00:13:09.555,P,False
00:14:30.035,00:14:34.039,I,False
00:15:55.554,00:15:55.554,P,False
00:19:56.562,00:21:05.063,P,False
00:21:49.541,00:21:49.541,P,False
00:22:14.533,00:22:14.533,P,False
00:22:46.565,00:23:21.533,P,False
00:24:06.044,00:24:06.044,P,False
00:25:18.550,00:25:20.051,P,False
00:26:43.034,00:26:53.545,P,False
00:26:56.047,00:27:00.051,I,False
00:29:12.550,00:29:12.550,P,False
00:30:45.543,00:30:45.543,P,False
00:31:29.554,00:31:30.555,E,False
00:31:37.061,00:31:37.061,F,False
00:31:40.531,00:31:42.033,E,False
00:32:21.539,00:33:34.045,P,False
00:36:01.058,00:37:04.555,P,False
00:37:16.534,00:37:41.559,F,False
00:37:51.035,00:37:51.035,P,False
00:38:03.047,00:38:08.052,E,False
00:39:23.060,00:39:23.060,P,False
00:41:00.057,00:41:00.057,P,False
00:42:41.559,00:43:23.534,P,False
00:43:41.552,00:43:41.552,F,False
00:45:51.048,00:46:29.553,P,False
00:47:41.558,00:47:42.059,P,False
00:48:40.050,00:49:01.038,P,False
00:51:06.063,00:51:12.536,P,False
00:51:16.540,00:51:17.541,F,False
00:51:24.548,00:51:28.552,P,False
00:52:21.538,00:52:27.544,P,False
00:52:52.035,00:52:52.035,P,False
00:53:54.531,00:53:55.532,F,False
00:54:08.545,00:54:08.545,P,False
00:54:35.038,00:54:38.041,F,False
00:55:57.053,00:56:45.535,C,False
00:56:46.536,00:56:53.042,R,False
00:56:58.047,00:57:13.062,L,False
00:57:16.533,00:57:20.036,F,False
00:57:22.539,00:57:28.545,G,False
