start,end,type label,modifier
00:00:53.053,00:01:07.534,S,False
00:01:13.540,00:01:32.559,O,False
00:01:34.027,00:01:34.027,L,False
00:01:38.031,00:01:47.540,O,False
00:01:51.544,00:01:51.544,P,False
00:01:53.046,00:01:55.048,M,False
00:02:07.060,00:02:16.035,P,True
00:02:20.507,00:02:35.054,M,False
00:03:41.054,00:03:48.561,P,False
00:04:13.553,00:04:16.055,P,False
00:04:23.563,00:04:26.065,P,False
00:04:57.563,00:05:02.035,P,False
00:05:50.550,00:05:51.551,P,False
00:07:43.062,00:07:51.037,P,False
00:09:40.046,00:10:46.045,P,False
00:11:06.565,00:11:23.049,P,False
00:12:16.535,00:12:16.535,P,False
00:13:48.561,00:14:58.564,E,True
00:15:04.036,00:15:30.062,P,False
00:17:34.553,00:17:59.044,E,True
00:19:02.040,00:19:12.050,P,False
00:19:30.035,00:19:51.557,E,False
00:21:15.540,00:22:17.035,P,False
00:22:43.061,00:22:56.041,P,False
00:23:23.535,00:23:26.037,P,False
00:24:00.038,00:24:15.554,P,False
00:25:53.552,00:26:19.544,E,False
00:26:23.048,00:26:23.548,P,False
00:27:13.531,00:27:13.531,F,False
00:27:14.532,00:27:14.532,E,False
00:27:17.035,00:27:23.041,P,False
00:27:23.541,00:27:34.052,E,False
00:28:27.539,00:28:27.539,P,False
00:28:31.042,00:28:33.545,F,False
00:29:03.041,00:29:12.050,F,False
00:29:29.033,00:29:31.536,F,False
00:29:42.547,00:29:43.548,P,False
00:30:35.033,00:30:38.036,F,False
00:31:03.061,00:31:07.031,F,False
00:31:17.542,00:31:17.542,P,True
00:31:21.546,00:31:21.546,F,True
00:31:58.049,00:31:58.549,P,False
00:32:28.046,00:32:29.547,F,False
00:33:07.552,00:33:08.052,F,False
00:33:35.046,00:33:35.046,F,False
00:34:39.043,00:34:39.043,F,False
00:34:49.554,00:34:53.057,P,False
00:35:25.056,00:36:28.553,C,False
00:36:32.056,00:36:37.562,R,True
00:36:42.033,00:36:43.534,G,False
00:36:44.035,00:36:44.035,L,False
00:36:44.535,00:36:49.040,G,False
00:36:53.544,00:36:53.544,L,False
00:36:58.549,00:37:03.554,G,False
