start,end,type label,modifier
00:01:05.065,00:01:15.008,L,False
00:01:23.550,00:01:49.042,P,False
00:02:58.011,00:03:06.019,P,False
00:03:22.535,00:03:35.548,M,True
00:03:37.550,00:03:39.052,O,False
00:03:49.062,00:05:45.545,P,False
00:06:13.039,00:06:35.061,F,False
00:07:14.534,00:07:14.534,P,False
00:07:27.046,00:07:39.559,N,False
00:07:47.533,00:08:00.046,P,False
00:08:01.547,00:08:04.550,F,False
00:08:15.561,00:08:19.065,I,True
00:08:57.036,00:08:57.036,P,False
00:08:58.538,00:09:01.541,I,False
00:09:21.561,00:10:57.556,P,False
00:11:37.063,00:11:47.540,Y,False
00:12:41.060,00:13:25.037,I,False
00:13:51.564,00:14:20.059,P,False
00:14:26.565,00:14:28.534,I,False
00:14:52.057,00:14:52.057,F,False
00:15:13.045,00:15:17.049,I,True
00:15:34.033,00:15:34.033,P,False
00:15:57.056,00:16:00.559,I,False
00:16:44.536,00:16:44.536,P,False
00:17:11.563,00:17:14.032,F,False
00:18:17.062,00:18:17.062,P,False
00:18:38.550,00:18:40.552,P,False
00:19:56.562,00:20:33.065,I,False
00:21:05.564,00:23:13.058,P,False
00:23:28.039,00:23:30.041,F,False
00:23:38.550,00:23:38.550,P,False
00:24:00.539,00:24:10.549,P,False
00:24:20.559,00:24:58.063,I,False
00:25:12.544,00:25:15.547,P,False
00:25:41.540,00:25:43.542,I,False
00:26:25.550,00:26:32.557,P,False
00:26:35.060,00:26:43.535,Y,False
00:26:44.536,00:26:50.542,N,True
00:27:06.057,00:27:06.057,P,False
00:27:07.559,00:27:11.563,I,False
00:27:55.040,00:28:35.046,P,False
00:28:37.048,00:28:39.050,F,False
00:28:43.054,00:28:46.057,P,False
00:29:10.548,00:29:16.054,I,False
00:29:34.539,00:30:36.034,P,False
00:31:14.038,00:31:24.048,P,False
00:31:52.543,00:32:20.538,Y,False
00:32:32.550,00:33:49.560,P,False
00:33:51.062,00:34:06.044,N,False
00:34:09.047,00:35:00.064,P,False
00:35:04.035,00:35:07.538,I,False
00:35:39.537,00:35:47.044,P,False
00:36:50.541,00:40:42.039,P,False
00:42:21.539,00:47:05.055,I,False
00:48:21.531,00:48:28.538,P,False
00:48:58.035,00:49:27.531,P,False
00:51:04.561,00:51:17.541,P,False
00:52:45.562,00:52:52.035,N,False
00:54:06.543,00:54:26.062,F,False
00:54:54.557,00:54:59.562,P,False
00:55:05.535,00:55:05.535,P,False
00:55:43.039,00:55:43.540,P,False
00:56:31.054,00:56:39.562,G,False
00:56:43.032,00:56:54.544,C,False
00:57:24.040,00:57:57.540,C,False
