start,end,type label,modifier
00:00:00.000,00:00:04.004,B,False
00:00:56.022,00:00:58.024,B,False
00:01:00.026,00:01:10.003,S,False
00:01:26.019,00:01:30.023,L,False
00:02:10.029,00:02:14.000,M,False
00:02:28.014,00:02:28.014,P,False
00:02:36.022,00:02:38.024,M,False
00:02:40.026,00:02:58.011,P,False
00:03:20.033,00:03:28.007,G,False
00:13:46.025,00:13:50.029,P,False
00:13:58.003,00:14:10.015,P,False
00:14:44.016,00:15:02.001,G,False
00:15:04.003,00:15:10.009,P,False
00:16:06.031,00:16:08.000,F,False
00:19:56.028,00:20:00.032,P,False
00:22:52.003,00:22:54.005,P,False
00:23:44.022,00:23:46.024,F,False
00:24:02.007,00:24:16.021,P,False
00:24:32.003,00:24:32.003,P,False
00:27:10.028,00:27:38.023,C,False
00:27:40.025,00:27:40.025,R,False
00:27:44.029,00:27:50.001,G,False
