GUID,",","Series/Group              ,","Slate Start ,","Slate End   ,","Writing Types,",Recorded/Digital,,,",",format of most of the information,",",Anything moving on screen during slate?,
cpb-aacip-81-881jx33t,",","Woman                     ,","00:00:00;00 ,","00:00:05;04 ,","handwriting  ,",recorded,,,",",boxes to fill in,",",no,
cpb-aacip-41-34fn32g7,",","Carolina Journal          ,","00:00:00;00 ,","00:00:14;28 ,","typed        ,",digital?,,,",",key-value pairs,",",countdown,
cpb-aacip-29-01pg4g2x,",","Prime Time Wisconsin      ,","00:00:00;00 ,","00:00:08;14 ,","typed        ,",digital,,,",",key-value pairs,",",no,
cpb-aacip-29-08v9s6dt,",","Prime Time Wisconsin      ,","00:00:00;00 ,","00:00:26;00 ,","typed        ,",digital,,,",",key-value pairs,",",no,
cpb-aacip-29-106wwrfp,",","Prime Time Wisconsin      ,","00:00:00;00 ,",00:00:05;01,"typed        ,",digital,,,",",key-value pairs,",",no,
cpb-aacip-29-117m0f2f,",","Prime Time Wisconsin      ,","00:00:00;00 ,","00:00:04;20 ,","typed        ,",digital,,,",",key-value pairs,",",no,
cpb-aacip-29-11xd270w,",","Prime Time Wisconsin      ,","00:00:00;00 ,","00:00:06;23 ,","typed        ,",digital,,,",",key-value pairs,",",no,
cpb-aacip-29-22v41r8t,",","Prime Time Wisconsin      ,","00:00:00;00 ,","00:00:06;07 ,","typed        ,",digital,,,",",key-value pairs,",",no,
cpb-aacip-29-24wh73nq,",","Wisconsin Week            ,","00:00:00;00 ,","00:00:07;05 ,","typed        ,",digital,,,",",key-value pairs,",",no,
cpb-aacip-29-3976hk2f,",","Wisconsin Week            ,","00:00:00;00 ,","00:00:06;19 ,","typed        ,",digital,,,",",key-value pairs,",",no,
cpb-aacip-29-48ffbnfm,",","Prime Time Wisconsin      ,","00:00:00;00 ,","00:00:09;21 ,","typed        ,",digital,,,",",key-value pairs,",",no,
cpb-aacip-29-4947dfbw,",","Wisconsin Week            ,","00:00:00;00 ,","00:00:07;27 ,","typed        ,",digital,,,",",key-value pairs,",",no,
cpb-aacip-29-49g4f9wp,",","Wisconsin Week            ,","00:00:00;00 ,","00:00:18;21 ,","typed        ,",digital,,,",",key-value pairs,",",no,
cpb-aacip-29-515mks96,",","Prime Time Wisconsin      ,","00:00:00;00 ,","00:00:06;19 ,","typed        ,",digital,,,",",key-value pairs,",",no,
cpb-aacip-29-5269pfn6,",","Wisconsin Week            ,","00:00:00;00 ,","00:00:04;12 ,","typed        ,",digital,,,",",key-value pairs,",",no,
cpb-aacip-29-61rfjdxq,",","Wisconsin Week            ,","00:00:00;00 ,","00:00:06;04 ,","typed        ,",digital,,,",",key-value pairs,",",no,
cpb-aacip-29-66j0zx33,",","Wisconsin Week            ,","00:00:00;00 ,","00:00:05;11 ,","typed        ,",digital,,,",",key-value pairs,",",no,
cpb-aacip-29-66vx0sr0,",","Wisconsin Week            ,","00:00:00;00 ,","00:00:12;14 ,","typed        ,",digital,,,",",key-value pairs,",",no,
cpb-aacip-29-687h4cjj,",","Prime Time Wisconsin      ,","00:00:00;00 ,","00:00:13;07 ,","typed        ,",digital,,,",",key-value pairs,",",no,
cpb-aacip-29-773txjgr,",","Wisconsin Week            ,","00:00:00;00 ,","00:00:05;11 ,","typed        ,",digital,,,",",key-value pairs,",",no,
cpb-aacip-29-86nzshb0,",","Prime Time Wisconsin      ,","00:00:00;00 ,","00:00:04;21 ,","typed        ,",digital,,,",",key-value pairs,",",no,
cpb-aacip-29-97kps24j,",","Prime Time Wisconsin      ,","00:00:00;00 ,","00:00:06;14 ,","typed        ,",digital,,,",",key-value pairs,",",no,
cpb-aacip-131-34sj3z5s,",","New York Now              ,","00:00:00;00 ,","00:00:05;03 ,","typed        ,",digital,,,",",key-value pairs,",",no,
cpb-aacip-131-7312jtjf,",","New York Now              ,","00:00:00;00 ,","00:00:05;17 ,","typed        ,",digital,,,",",key-value pairs,",",no,
cpb-aacip-131-9351cfms,",","New York Now              ,","00:00:00;00 ,","00:00:04;27 ,","typed        ,",digital,,,",",key-value pairs,",",no,
cpb-aacip-131-95j9kpkb,",","New York Now              ,","00:00:00;00 ,","00:00:05;21 ,","typed        ,",digital,,,",",key-value pairs,",",no,
cpb-aacip-131-98z8wm7p,",","New York Now              ,","00:00:00;00 ,","00:00:05;00 ,","typed        ,",digital,,,",",key-value pairs,",",no,
cpb-aacip-29-440rz2bm,",","Wisconsin Week            ,","00:00:00;15 ,","00:00:11;08 ,","typed        ,",digital,,,",",key-value pairs,",",no,
cpb-aacip-394-9995xntg,",","Wall Street Week          ,","00:00:02;14 ,","00:00:14;19 ,","typed        ,",digital,,,",",key-value pairs,",",countdown,
cpb-aacip-129-89280vgh,",","North Carolina Now        ,","00:00:04;12 ,","00:00:13;06 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-322-83kwhg7z,",","Sun Coast Business Forum  ,","00:00:04;13 ,","00:00:12;12 ,","typed        ,",digital,,,",",key-value pairs,",",no,
cpb-aacip-129-08hdrc8b,",","North Carolina Now        ,","00:00:04;14 ,","00:00:29;05 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-322-784j1746,",","Up Close with Cathy Unruh ,","00:00:04;16 ,","00:00:19;15 ,","typed        ,",digital,,,",",free text,",",no,
cpb-aacip-322-55m90c8c,",","Up Close with Cathy Unruh ,","00:00:04;17 ,","00:00:12;15 ,","typed        ,",digital,,,",",key-value pairs,",",countdown,
cpb-aacip-29-902z3fdn,",","Prime Time Wisconsin      ,","00:00:04;18 ,","00:00:09;26 ,","typed        ,",digital,,,",",key-value pairs,",",no,
cpb-aacip-129-4947dhdh,",","North Carolina Now        ,","00:00:04;18 ,","00:00:07;25 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-322-83kwhg8p,",","Sun Coast Business Forum  ,","00:00:04;18 ,","00:00:12;17 ,","typed        ,",digital,,,",",key-value pairs,",",countdown,
